@MiriamCheah like i NEVER cry usually!! but jess crying makes me feel sad , 0
Very sad cause i made a good friend cry cause of my unkown band vid. , 0
ughhhh I have no luck with boys.  I'm destined to be alone., 0
@MsLaudanum unless you have to travel in order to get to an early meet   Monday then you fall asleep on the train instead , 0
i hate sundays , 0
@schmoogumz July 3rd? Shiznit! haha.  YOU HAVE TO COME! it wont be the same , 0
@lkutner Hope so  sitting here look at my new screen now with no picture. boooo, 0
I'm hung over today   http://yfrog.com/0nw2jj, 0
@gonzajuju Poor Lindz! I hope they give you lots of drugs to make u feel better. , 0
detroit redwings won there game last night!!! 5 to 0. only a few more games left in the play offs... , 0
Sick of studing  I'm gonna cry!! Summer where are u?, 0
on a train sat next to a pretty girl (who has a boyfriend  ), 0
Waiting for Trey to get here so we can load up the uhaul  I don't wanna do this eva again., 0
Not sure how I feel having lived 37% of my life, 0
@BNichole8 well hello there! No tweet ♡ from u 2day  lol, 0
Feals a bit dwn , 0
i want to go see the nunes SO bad. i'm not sure if i have the money though , 0
my lips hurt as well now  good thing i got me some vasaleeeeen!, 0
@GmanProds1337 I hope so, 0
Why can't you love me like you did before? , 0
doesn't want to be awake , 0
@CAMARO909 aw thankyou I did. I'm just miffed about the weather  x, 0
@coreynjoey Would love to come chew the cud re: GWS8 with y'all next weekend, 0
work in 1 hr and 10minutes  then Returning a dresssss., 0
here sitting in my computer room...sooo bored and it's a relatively nice day out but it's gonna rain  ahhh haha, 0
so sad, 0
@VictorianQueen Yes it is (even though black is £375 more than crappy default white)  and yeah it was me, 0
having super technical difficulties using the @mr_burnett career site. all i want to do is great work for you , 0
@MrPaulEvans i miss u boo  i rly gotta get this phone shit straightened out... , 0
i missed the rachel migs chant , 0
@marcusfoster1: *sigh* It's times like these that I wished I lived in the UK. Oh well. , 0
Is not happy with the FULL MOON tonight.. Cant wait for it to be over!! Will feel MUCH better tomorrow , 0
i want the sims 3!!!!  why did i pick a new phone? though i love that too! grr wish i could have a job! , 0
Should have been dizzee , 0
I did fall asleep -- can't remember the dream , 0
bio final  when i could actually be doing cool shit on a super nice day, 0
Found a zip tie @ the park... Reminds me of work.. Uhggggg  http://mypict.me/2VNB, 0
@pastelsmashcom Poor you  I forgot to put on sunburn last year. Spent almost the whole summer in bed.., 0
@Timberwolf123 Can't tweet long, 0
i want the sims there so bad!!!            , 0
: Life is slowly boring me away. Gotta make the greens soon at 4! , 0
@ShellyKramer Trying to work on a book. Failing miserably as the kitty seems to want to make her butt one with the laptop , 0
I feel so bored ! Ooohh give me a wonderful things.. , 0
@lauriewl I may come to watch bball if that's ok?  I have a lot of stuff to get done today so probablly no pool , 0
Fuck you headache, 0
Misses my honey , 0
@TheBibik Yeaa!! so disappointing right? plot was written out of swiss cheese, 0
I have hiccups ! , 0
@EdiReaves he sent it to me too why are people mad? We don't wear those things everyday. , 0
Yay for me. I get to wait 2.5 more weeks before I know if I am pregnant or not. , 0
@sianleigh_ love me, 0
the sims game won't work , 0
Sight seeing n oklahoma=boring. I mis ashli and steven , 0
Made the mistake of checking my work to do list: it's looking very unlikely that I'll make it to the @MarketingProfs tweetup tomorrow. , 0
It appears we're about to be bypassed by the storms yet again.  If I can hear the thunder, 0
@SKMusic man I wish I was going to six flags. We don't have 1 here in Houston anymore , 0
I want dopamine  , 0
@RyanStar awww the sun blocks your face  but you still look oh so handsome! &lt;3, 0
Dance is over until next week. I all ready miss dancing with you Jorie!! , 0
had a blast w my ph bitches.  love those girls!  @ Bingo serving these bingo fiends w/out BFF , 0
Starving! I guess I'll get my sausage grinder next year  Since I didn't last year... Or this year. Making ravioli and then who knows., 0
@ScottMillsGuru I did, 0
Trying to come up with a middle name for our daughter.  Tyleretta has been ruled out. , 0
i need sleep; pretty epic night; 4 hours sleep NOT ENOUGH  (L) my girls xxx, 0
no joke i seriously just woke up at 12 im all ready turnig to summer sleeping schedual but there is still 3 more days of school come on , 0
the article i just read made me sad, 0
@MouserNerd lol just go to twitpic.com and enter ur twitter name n pass, 0
@heidipena Asos who had the dry shampoo in travel size.. It's because it's an aerosol bottle , 0
@Odrep yeah. I've been arrested 3 times since they started it.  Just got out a few minutes ago. hahaha, 0
@ohflawless I know , 0
I'm awfully cold. , 0
@mountainkat Hey I hate when that happens , 0
tonight, 0
@nrotschafer my bad I am sorry. , 0
@DannysGhirl Me too, 0
Baseball with Benny and Arturo. Hope I don't die playing with these young kids. , 0
@bifnaked I had a pitbull when I was a kid, 0
@afrikajay I wanted to get a pic but the light turned green , 0
@emotionalgeek i missed you , 0
@RyanStar and running...and running? ;) God, 0
@stereoqueenbee Weather just changed , 0
@teapartyfortwo hahah I know. shut up. WHAT HAPPENED!? , 0
@TheFlog terrible move on Deitch picking up Fairey! , 0
@lesliewaltzes hey I feel like I need a shrink too. And I'm still scared of scary movies , 0
Just saw bambi road kill on the side of the highway , 0
@KobiWanBryant babyyyy  you do it too, 0
@Axelsrose (Ah. I have the feeling I'm gonna hate Y10.  Then again, 0
In the booth. Come see me!  please., 0
actually... scratch that... i wanna see &quot;up&quot; tonight in 3D... but everyone has already seen it!  HMPH!, 0
This sucks I keep having dreams he's here. Then I wake up &amp; see an empty spot beside me  4 months down .., 0
At the game. Didn't make it in time for a bat. , 0
Just woke up. I feel very nostalgic for something, 0
my blackberry died , 0
I want to play the sims 3. , 0
Hey @bowwow614 damn   (officialbowwow live &gt; http://ustre.am/3gi1), 0
what a saddd movie , 0
Sunburn on my forhead. , 0
@ShaolinTiger @goldfries @CincauHangus How long does it take before WP2.7 updates all your posts? Mine already is showing some errors , 0
why wont twitter work with my phone , 0
I only have 13 fans of facebook..........http://bit.ly/eyd9n , 0
@donnamatrix sorry to hear the night was bad. , 0
This is disappointing... less then 24 hours till WWDC and still no major leaks , 0
dude. i was going to make cookies for @kadeholloway and his crew but i have a graduation party to go to before the show. sorry boyss. , 0
Sister's home! Everything seems fine and jolly  until she leaves in 10 mins time...  :'(, 0
why is it that i cant get none of the celebs i like to talk to me , 0
I mis my twin sistr shes gone 2 camp. , 0
@joeymcintyre ya but we couldn't give ours in Va beach  good luck tonight in dc wish I could go, 0
Poor german @jchutchins-Fan. Amazon.de will deliver PE-DA not until July 1st , 0
my stomach is killing me , 0
@DesiLynnsmom Although I can understand Tony's frustration - he's probably not happy with HIS sis-in-law now! , 0
hates studying for finalsss , 0
Down in England for the weekend, 0
just heard horrible news about my x and my friend...it hurts so bad  i wish it would stop!, 0
Catching up on earplug inventory.  Attending a memorial service for a friend's wife.  , 0
I can't believe. Before the storm with miley and nick?!  Already heard in platonic love? Yeah, 0
@ThisStarChild Milady - will you ask @lizwoolly to stop picking on me , 0
@livileah88 I miss spanking you a lot  I will more then make up for things when your over. We have much to cover ;), 0
@plainlo it was yummy ! when are we doing something? , 0
Must tidy room , 0
is still at work and it is sooo nice outside! , 0
I only like building houses and killing them , 0
turns out modulus is used in random number generators already. i didn't discover anything new  , 0
dinner was pish.ma fork smelled of wetdog so that put me off completely  a well want a nap but i wana be able to sleep later on grr!, 0
@Bearskopff whats there number, 0
today is sunday... meaning theres school tomorrow  noooo!, 0
just got home . I NEED to charge my phone only 10% left aaaaah !  :|, 0
@green_i_girl I know I know! , 0
@DeadRinga More like 4 different places in a line down the hall &amp; into the front room. Also, 0
@disasterarea1 sounds nice, 0
@mitchelmusso i would but i live in austria!!!  , 0
I love Erasure!! I couldn't find Breath of Life  ♫ http://blip.fm/~7sxar, 0
@Lkudrow Hate it when that happens, 0
sooo jealous of you guys!!!! and seriously dad? 11 o'clock isn't day time!!! i wanted to sleeeeeeep.  hehe., 0
MISSING KY ALREADY , 0
Just dropped @SallyLovern off at the airport , 0
Back to school tomorrow! , 0
I'M BACK! I finished studying for 2 subjects! I am so proud ^^ Now, 0
Stupid @tweetie for iPhone won't upload images. Just crashes. , 0
@Lkudrow answer your fans. pleasee. , 0
@subzero77 Oi! what's all this? i care! been wondering where you have been  what's up? x, 0
@AKAmplish never cooked for me , 0
I'm going to die here!, 0
its time to drink, 0
where is evrybody ? , 0
@joeymcintyre HEY!! It was storming in ATL. We would have done much more than 600 if the rain didn't ruin most of the books.   LOL, 0
Yeah, 0
wishin I wasn't so stubborn as I look  at my keyshia ticket , 0
